012599C.FURI.BHZ.s_fil 0.3871 75.8300247 142.836548 8.895200e+00 3.867980e+01 -1.802600e+01 -1.784450e+02 640 -18.77 131.56 -7.28 84.23 -14.17 107.31 105.5 88.4 0.787895
012599C.RAYN.BHZ.s_fil 0.3459 67.752655 138.665955 2.352250e+01 4.550320e+01 -1.802600e+01 -1.784450e+02 640 -0.09 133.43 13.71 99.16 7.12 116.55 63.5 69.2 0.727244
012599C.SA139.BHZ.s_fil 0.01209 85.9946442 130.202148 -2.585190e+01 2.626620e+01 -1.802600e+01 -1.784450e+02 640 -58.75 131.01 -61.79 91.25 -61.76 112.10 18.6 37.5 0.700746
012599C.SA155.BHZ.s_fil 0.48 87.5059738 131.643723 -2.287860e+01 2.834020e+01 -1.802600e+01 -1.784450e+02 640 -55.41 129.22 -57.42 88.99 -58.06 109.66 23.2 42.1 0.307519
012599C.SA53.BHZ.s_fil 0.28008 86.8648529 130.114044 -2.411340e+01 2.933280e+01 -1.802600e+01 -1.784450e+02 640 -55.56 128.40 -57.74 92.71 -57.93 111.09 18.4 37.3 0.515238
012599C.SA72.BHZ.s_fil 0.1821 88.9113312 133.701294 -2.014296e+01 2.861131e+01 -1.802600e+01 -1.784450e+02 640 -53.28 129.32 -54.40 84.98 -55.91 107.46 31.7 49.1 0.827748
012799C.SDV.BHZ.s_fil -0.4711 82.508255 142.732758 8.883900e+00 -7.063400e+01 -5.317000e+00 1.467640e+02 230 2.21 -165.18 8.00 -120.05 5.53 -142.73 96.6 84.7 0.563172
013002A.CHUK.BHZ.s_fil 0.0601 85.550621 134.682327 2.708270e+01 8.955030e+01 1.819400e+01 -9.590800e+01 108.9 71.39 -113.45 79.41 123.56 82.10 -148.59 32.1 49.3 0.492349
013002A.DINX.BHZ.s_fil 0.0199 84.762886 133.325272 2.866460e+01 8.711570e+01 1.819400e+01 -9.590800e+01 108.9 72.66 -105.90 82.75 113.49 83.67 -127.69 26.3 44.7 0.971798
013002A.LSA.BHZ.s_fil -0.22298 84.2346802 131.90097 2.970310e+01 9.112700e+01 1.819400e+01 -9.590800e+01 108.9 71.94 -118.08 80.99 145.99 80.27 -146.03 21.1 40 0.54909
013002A.PHID.BHZ.s_fil 0.1899 85.5196533 134.785126 2.715010e+01 8.776450e+01 1.819400e+01 -9.590800e+01 108.9 71.89 -107.94 80.47 112.50 83.70 -138.09 32.6 49.7 0.447493
013002A.SAGA.BHZ.s_fil -0.17502 84.4321289 132.741898 2.932920e+01 8.523210e+01 1.819400e+01 -9.590800e+01 108.9 73.15 -99.72 84.31 97.48 84.22 -108.25 23.9 42.8 1.15484
013002A.SSAN.BHZ.s_fil -0.18591 84.3836212 132.592056 2.942380e+01 8.672900e+01 1.819400e+01 -9.590800e+01 108.9 73.02 -104.66 83.89 113.85 83.59 -122.27 23.3 42.2 0.798968
013002A.TASH.BHZ.s_fil -0.128 85.2166443 134.003281 2.774920e+01 8.973090e+01 1.819400e+01 -9.590800e+01 108.9 71.64 -114.03 80.10 127.51 81.83 -147.00 29 47 0.495273
013102D.EIL.BHZ.s_fil 0.0681 67.197052 134.693756 2.966990e+01 3.495120e+01 -1.272910e+01 1.694776e+02 659.8 14.34 123.72 25.95 96.33 20.68 110.55 37.9 53.5 0.401235
013102D.KIEV.BHZ.s_fil 0.25403 56.7680206 130.244034 5.070120e+01 2.922420e+01 -1.272910e+01 1.694776e+02 659.8 33.10 138.43 47.65 120.11 40.73 130.27 19.4 38.4 0.931348
013102D.MORC.BHZ.s_fil 0.157 58.005146 136.459061 4.977660e+01 1.754280e+01 -1.272910e+01 1.694776e+02 659.8 33.58 144.90 57.69 114.50 46.60 133.09 47.7 60 0.408114
013199A.PLCA.BHZ.s_fil -0.0159 43.5562592 134.335526 -4.073277e+01 -7.055083e+01 4.315700e+01 4.684100e+01 33 11.64 -4.60 -7.01 -22.55 2.34 -13.64 31.9 49.2 0.436061
013199A.SPA.BHZ.s_fil 0.205 23.4215088 132.965012 -9.000000e+01 0.000000e+00 4.315700e+01 4.684100e+01 33 -11.70 46.84 -35.11 46.84 -23.41 46.84 26.3 44.7 0.718824
020103C.H0260.BHZ.s_fil -0.302 84.4394913 135.991852 2.767330e+01 8.509280e+01 1.655400e+01 -9.288600e+01 211.2 69.81 -86.91 81.00 70.65 83.80 -70.34 39.4 54.6 1.04578
020103C.LSA.BHZ.s_fil -0.1771 83.4214554 133.850311 2.970310e+01 9.112700e+01 1.655400e+01 -9.288600e+01 211.2 70.45 -104.65 82.78 128.06 81.85 -125.79 28.9 46.9 0.454861
020103C.NP010.BHZ.s_fil -0.198 84.5266113 136.058777 2.749480e+01 8.331810e+01 1.655400e+01 -9.288600e+01 211.2 69.45 -81.79 80.06 58.19 82.72 -54.90 39.7 54.8 0.650989
020104B.ARU.BHZ.s_fil 0.0499 42.2034035 132.79039 5.643020e+01 5.856250e+01 -3.166400e+01 1.797010e+02 354.2 12.82 147.12 31.82 131.63 22.51 139.91 27 45.3 0.378191
020104B.GNI.BHZ.s_fil 0.2401 51.9172859 142.877029 4.014800e+01 4.474100e+01 -3.166400e+01 1.797010e+02 354.2 -4.12 137.65 24.48 100.11 10.73 119.77 101.1 86.6 0.286618
020104B.KBS.BHZ.s_fil 0.1 34.6184387 132.358353 7.891540e+01 1.193850e+01 -3.166400e+01 1.797010e+02 354.2 22.79 176.90 45.70 175.27 34.25 176.20 25.3 43.9 0.425691
020104B.RAYN.BHZ.s_fil 0.195 60.4342918 138.846771 2.352250e+01 4.550320e+01 -3.166400e+01 1.797010e+02 354.2 -18.94 124.19 -1.15 92.25 -10.44 107.77 61.5 68.1 0.56372
020404C.BRVK.BHZ.s_fil -0.443 48.1318932 136.422989 5.305800e+01 7.028280e+01 -2.613400e+01 -6.346100e+01 558.4 16.25 -32.23 40.01 -8.58 28.63 -21.75 47.1 59.6 1.21598
020404C.CHM.BHZ.s_fil -0.6277 53.6127167 142.13237 4.299860e+01 7.475130e+01 -2.613400e+01 -6.346100e+01 558.4 6.42 -26.89 34.68 11.34 21.63 -9.65 95.9 84.5 0.22741
020404C.KURK.BHZ.s_fil -0.511 50.0597649 142.0914 5.071540e+01 7.862020e+01 -2.613400e+01 -6.346100e+01 558.4 12.94 -34.47 45.87 1.88 30.64 -19.42 95.3 84.2 0.854917
020404C.VOS.BHZ.s_fil -0.3859 48.36763 136.933823 5.272320e+01 7.097970e+01 -2.613400e+01 -6.346100e+01 558.4 15.90 -32.24 40.35 -7.59 28.68 -21.36 50.3 61.6 0.97788
020499F.BZN.BHZ.s_fil 0.0567 74.7110519 131.987518 3.349150e+01 -1.166670e+02 4.033000e+00 9.528300e+01 55.5 44.49 138.34 52.92 168.10 49.67 151.94 21.5 40.5 0.506461
020499F.CRY.BHZ.s_fil 0.095 74.6703339 131.893921 3.356540e+01 -1.167373e+02 4.033000e+00 9.528300e+01 55.5 44.52 138.37 52.91 167.89 49.66 151.87 21.2 40.2 0.494402
020499F.DAN.BHZ.s_fil 0.0441 74.1661301 131.912018 3.463745e+01 -1.153811e+02 4.033000e+00 9.528300e+01 55.5 45.91 136.96 54.89 167.20 51.38 150.61 21.3 40.3 0.679226
020499F.FRD.BHZ.s_fil 0.1098 74.7117386 132.023697 3.349470e+01 -1.166022e+02 4.033000e+00 9.528300e+01 55.5 44.52 138.29 52.99 168.16 49.72 151.94 21.6 40.6 0.319972
